var1,var2,var3,var4,var5,var6
20171223,40002,7163,0,6983,0
20171223,40003,153367,0,210654,54000000004
20171223,40005,240,0,330,0
20171223,40004,5112,0,4985,0
20171223,40002,6724,0,7163,0
20171223,40004,4800,935999999999,5112,0
20171223,40003,214445,88000000006,210654,54000000004
20171223,40005,330,0,330,0
20171223,40011,6314,0,6137,0
20171223,40031,4508,196000000001,4381,818
20171223,40021,135245,88,131454,53999999995
20171223,40013,410,0,410,0
20171223,40034,292,73999999999995,292,73999999999995
20171223,40024,79200,0,79200,0
20171223,40041,6720,0,6480,0
20171223,40044,420,0,420,0
20171223,40006,7140,0,6900,0
