var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16
2017,07,03,13,48,39,362458,CCIOReporter-002.xml,2017,07,03,13,48,39,362458,CCIOReporter-002.xml
2017,07,03,16,05,51,031703,AirPortBrcm4360_Logs-003.txt,2017,07,03,16,05,51,031703,AirPortBrcm4360_Logs-003.txt
2017,07,03,16,05,51,075268,AirPortBrcm4360_Logs-005.txt,2017,07,03,16,05,51,075268,AirPortBrcm4360_Logs-005.txt
2017,07,03,16,05,51,177343,io80211Family-003.pcapng,2017,07,03,16,05,51,177343,io80211Family-003.pcapng
2017,07,03,16,06,19,893324,AirPortBrcm4360_Logs-008.txt,2017,07,03,16,06,19,893324,AirPortBrcm4360_Logs-008.txt
2017,07,03,16,07,33,934533,AirPortBrcm4360_Logs-009.txt,2017,07,03,16,07,33,934533,AirPortBrcm4360_Logs-009.txt
2017,07,03,16,07,40,650186,CCIOReporter-027.xml,2017,07,03,16,07,40,650186,CCIOReporter-027.xml
2017,07,03,16,25,27,859687,CCIOReporter-038.xml,2017,07,03,16,25,27,859687,CCIOReporter-038.xml
2017,07,03,16,28,40,259618,AirPortBrcm4360_Logs-055.txt,2017,07,03,16,28,40,259618,AirPortBrcm4360_Logs-055.txt
2017,07,03,16,29,09,137954,CCIOReporter-062.xml,2017,07,03,16,29,09,137954,CCIOReporter-062.xml
2017,07,03,18,57,12,221233,AirPortBrcm4360_Logs-005.txt,2017,07,03,18,57,12,221233,AirPortBrcm4360_Logs-005.txt
2017,07,04,11,29,09,994819,CCIOReporter-005.xml,2017,07,04,11,29,09,994819,CCIOReporter-005.xml
2017,07,04,11,29,10,144779,AirPortBrcm4360_Logs-008.txt,2017,07,04,11,29,10,144779,AirPortBrcm4360_Logs-008.txt
2017,07,05,11,01,55,983179,AirPortBrcm4360_Logs-006.txt,2017,07,05,11,01,55,983179,AirPortBrcm4360_Logs-006.txt
2017,07,05,14,04,25,118445,AirPortBrcm4360_Logs-040.txt,2017,07,05,14,04,25,118445,AirPortBrcm4360_Logs-040.txt
2017,07,05,16,05,05,078442,io80211Family-008.pcapng,2017,07,05,16,05,05,078442,io80211Family-008.pcapng
2017,07,05,19,00,43,154864,CCIOReporter-007.xml,2017,07,05,19,00,43,154864,CCIOReporter-007.xml
2017,07,06,12,00,58,629029,AirPortBrcm4360_Logs-007.txt,2017,07,06,12,00,58,629029,AirPortBrcm4360_Logs-007.txt
2017,07,06,12,03,00,133649,CCIOReporter-028.xml,2017,07,06,12,03,00,133649,CCIOReporter-028.xml
2017,07,06,12,03,02,449748,AirPortBrcm4360_Logs-037.txt,2017,07,06,12,03,02,449748,AirPortBrcm4360_Logs-037.txt
2017,07,06,12,03,12,289973,CCIOReporter-041.xml,2017,07,06,12,03,12,289973,CCIOReporter-041.xml
2017,07,06,14,15,59,644892,CCIOReporter-007.xml,2017,07,06,14,15,59,644892,CCIOReporter-007.xml
2017,07,06,14,15,59,726497,io80211Family-008.pcapng,2017,07,06,14,15,59,726497,io80211Family-008.pcapng
2017,07,07,07,01,14,472939,CCIOReporter-002.xml,2017,07,07,07,01,14,472939,CCIOReporter-002.xml
2017,07,07,12,24,31,376032,AirPortBrcm4360_Logs-011.txt,2017,07,07,12,24,31,376032,AirPortBrcm4360_Logs-011.txt
2017,07,07,13,38,23,338868,AirPortBrcm4360_Logs-013.txt,2017,07,07,13,38,23,338868,AirPortBrcm4360_Logs-013.txt
2017,07,07,13,38,24,371339,CCIOReporter-019.xml,2017,07,07,13,38,24,371339,CCIOReporter-019.xml
2017,07,07,13,40,35,857095,AirPortBrcm4360_Logs-022.txt,2017,07,07,13,40,35,857095,AirPortBrcm4360_Logs-022.txt
2017,07,07,13,40,35,961495,io80211Family-023.pcapng,2017,07,07,13,40,35,961495,io80211Family-023.pcapng
2017,07,07,13,42,34,831310,AirPortBrcm4360_Logs-041.txt,2017,07,07,13,42,34,831310,AirPortBrcm4360_Logs-041.txt
2017,07,08,02,32,46,787931,AirPortBrcm4360_Logs-004.txt,2017,07,08,02,32,46,787931,AirPortBrcm4360_Logs-004.txt
