var1,var2,var3
10.10.34.18,42772,0x14ed93111f20005
10.10.34.12,45542,0x14ed93111f20002
10.10.34.13,37106,0x14ed93111f20010
10.10.34.11,49557,0x14ed93111f20048
10.10.34.29,39382,0x14ed93111f2005d
10.10.34.11,50940,0x14ed93111f20099
10.10.34.11,52893,0x14ed93111f2009b
10.10.34.12,45682,0x14ed93111f200cd
10.10.34.12,45697,0x14ed93111f200d6
10.10.34.11,54983,0x14ed93111f200f0
10.10.34.13,38088,0x14ede63a5a70048
10.10.34.17,51214,0x14ede63a5a70053
10.10.34.13,54485,0x14edfaa86f60021
10.10.34.12,59661,0x14ee3e057ed0027
10.10.34.19,57338,0x14f05578bd8000d
10.10.34.12,46331,0x14f1724a6e80004
10.10.34.35,48997,0x14f4a6318b80024
10.10.34.12,58917,0x14f4a6318b80018
10.10.34.28,37304,0x24ed9311942004f
10.10.34.13,37335,0x24ed93119420065
10.10.34.11,53520,0x24ed9311942005f
10.10.34.11,53857,0x24ed93119420082
10.10.34.21,51262,0x24ed931194200a0
10.10.34.20,49010,0x24ede63a01b000e
10.10.34.37,32918,0x24edfaa8717000c
10.10.34.24,45152,0x24edfaa8717001a
10.10.34.13,45817,0x24edfaa87170022
10.10.34.12,54237,0x24edfaa87170035
10.10.34.27,36125,0x24ee30a54f5000e
10.10.34.13,36187,0x24f0557806a001b
10.10.34.19,60483,0x24f4a631df90002
10.10.34.11,34266,0x24f4a631df9000a
10.10.34.12,36890,0x24f4a631df9000b
10.10.34.15,59330,0x24f4a631df9001d
10.10.34.12,59284,0x34ed9ac1c1e0059
10.10.34.18,46783,0x34ed9ac1c1e0086
10.10.34.11,40581,0x34ed9ac1c1e0093
10.10.34.11,41160,0x34ed9ac1c1e00a9
10.10.34.11,51097,0x34ede65503f002f
10.10.34.12,56372,0x34ede65503f0030
10.10.34.11,53310,0x34edfaa9c220012
10.10.34.13,42060,0x34edfaa9c22002d
10.10.34.11,59186,0x34ee30a5c530018
10.10.34.12,33342,0x34f0557885e0002
