var1,var2
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
188978561024,1
3,1
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,2
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
188978561024,3
1,3
