var1,var2,var3,var4
0x14ed93111f20027,10000,10.10.34.13,37177
0x14ed93111f2002b,10000,10.10.34.22,47073
0x14ed93111f2005b,10000,10.10.34.28,52117
0x14ed93111f2005f,10000,10.10.34.36,32876
0x14ed93111f20079,20000,10.10.34.11,49800
0x14ed93111f2007c,10000,10.10.34.11,50276
0x14ed93111f20082,10000,10.10.34.11,50301
0x14ed93111f200df,10000,10.10.34.13,37467
0x14ede63a5a7004b,10000,10.10.34.11,40489
0x14edfaa86f60013,10000,10.10.34.27,44600
0x14ee3e057ed000c,10000,10.10.34.37,49834
0x14ee3e057ed002c,10000,10.10.34.19,43049
0x14f05578bd80002,10000,10.10.34.12,46262
0x14f05578bd80020,10000,10.10.34.11,38390
0x14f05578bd80016,10000,10.10.34.13,38490
0x14f05578bd80013,10000,10.10.34.11,38530
0x14f4a6318b80005,10000,10.10.34.11,56492
0x14f4a6318b80013,10000,10.10.34.20,43137
0x14f4a6318b80022,10000,10.10.34.30,43272
0x24ed9311942007e,10000,10.10.34.12,54673
0x24ed9311942008c,10000,10.10.34.18,40006
0x24ed93119420091,10000,10.10.34.40,47629
0x24ed931194200a4,10000,10.10.34.32,39275
0x24ed931194200a7,10000,10.10.34.36,45209
0x24ed931194200af,10000,10.10.34.16,56646
0x24ede63a01b000a,10000,10.10.34.13,52286
0x24ede63a01b0027,10000,10.10.34.13,52301
0x24ede63a01b002a,20000,10.10.34.11,54338
0x24ede63a01b006c,10000,10.10.34.40,47637
0x24edfaa87170018,10000,10.10.34.21,42521
0x24ee30a54f5001c,10000,10.10.34.32,45013
0x24ee30a54f5001e,20000,10.10.34.11,45101
0x24ee30a54f5001f,10000,10.10.34.11,45102
0x24f0557806a001e,10000,10.10.34.11,51000
0x24f1724b8af0009,10000,10.10.34.21,44834
0x24f4a631df9000e,10000,10.10.34.16,53681
0x24f4a631df90016,10000,10.10.34.40,39952
0x34ed9ac1c1e0007,10000,10.10.34.12,59224
0x34ed9ac1c1e002e,10000,10.10.34.42,39469
0x34ed9ac1c1e0036,10000,10.10.34.36,37583
0x34ed9ac1c1e0064,10000,10.10.34.11,37111
0x34ed9ac1c1e00d1,10000,10.10.34.11,49255
0x34ede65503f0025,10000,10.10.34.11,50961
0x34ede65503f0027,10000,10.10.34.12,56359
0x34ede65503f002d,20000,10.10.34.11,51041
0x34ede65503f0058,20000,10.10.34.11,51967
0x34edfaa9c220002,10000,10.10.34.11,53000
0x34edfaa9c22001e,10000,10.10.34.41,51908
0x34edfaa9c22003a,10000,10.10.34.16,42267
0x34ee30a5c53002b,10000,10.10.34.42,37429
