var1,var2
10.10.34.19,33442
10.10.34.20,56418
10.10.34.42,34164
10.10.34.11,54411
10.10.34.13,37454
10.10.34.12,45728
10.10.34.13,38053
10.10.34.13,38079
10.10.34.11,40489
10.10.34.40,40996
10.10.34.16,39498
10.10.34.25,58975
10.10.34.33,39730
10.10.34.13,39525
10.10.34.35,48971
10.10.34.16,40418
10.10.34.13,50545
10.10.34.13,37229
10.10.34.25,53326
10.10.34.12,54643
10.10.34.30,60436
10.10.34.11,58424
10.10.34.12,54126
10.10.34.30,55417
10.10.34.20,44648
10.10.34.18,49139
10.10.34.25,44819
10.10.34.15,49471
10.10.34.11,51259
10.10.34.35,47894
10.10.34.12,59230
10.10.34.11,37116
10.10.34.13,54616
10.10.34.14,49822
10.10.34.11,50716
10.10.34.11,51043
10.10.34.12,56424
10.10.34.34,55584
10.10.34.37,34701
