var1,var2,var3,var4,var5
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,00 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,00 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,00 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,00 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,00 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,00 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,02 2005
24.54.76.216,24-54-76-216.bflony.adelphia.net,Fri Jun 17 07,07,04 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,06 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,06 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,06 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,06 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,06 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,07 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Fri Jun 17 20,55,07 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,10 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,11 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,11 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,11 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,11 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,11 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,12 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,12 2005
82.252.162.81,lns-vlq-45-tou-82-252-162-81.adsl.proxad.net,Sat Jun 18 02,08,12 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
222.33.90.199,,Mon Jun 20 03,40,59 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,30 2005
210.245.165.136,,Wed Jun 22 13,16,31 2005
210.245.165.136,,Wed Jun 22 13,16,31 2005
210.245.165.136,,Wed Jun 22 13,16,31 2005
210.245.165.136,,Wed Jun 22 13,16,31 2005
210.245.165.136,,Wed Jun 22 13,16,31 2005
210.245.165.136,,Wed Jun 22 13,16,32 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,11 2005
218.69.108.57,,Fri Jun 24 18,55,18 2005
218.69.108.57,,Fri Jun 24 18,55,18 2005
218.69.108.57,,Fri Jun 24 18,55,18 2005
218.69.108.57,,Fri Jun 24 18,55,18 2005
218.69.108.57,,Fri Jun 24 18,55,18 2005
218.69.108.57,,Fri Jun 24 18,55,18 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
210.118.170.95,,Sat Jun 25 09,20,24 2005
