var1,var2,var3,var4,var5,var6
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,00:01
proxy.cse.cuhk.edu.hk:5070,403, ,426, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,451, ,18846, (18.4 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,445, ,5174, (5.05 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1190, (1.16 KB) ,1671, (1.63 KB) ,00:02
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1165, (1.13 KB) ,3098, (3.02 KB) ,00:01
proxy.cse.cuhk.edu.hk:5070,1165, (1.13 KB) ,815, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1165, (1.13 KB) ,783, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,850, ,10547, (10.2 KB) ,00:02
proxy.cse.cuhk.edu.hk:5070,408, ,421, ,00:03
proxy.cse.cuhk.edu.hk:5070,1165, (1.13 KB) ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,19904, (19.4 KB) ,27629, (26.9 KB) ,02:19
proxy.cse.cuhk.edu.hk:5070,1118, (1.09 KB) ,340, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1143, (1.11 KB) ,365, ,00:01
proxy.cse.cuhk.edu.hk:5070,1093, (1.06 KB) ,1006, ,00:01
proxy.cse.cuhk.edu.hk:5070,428, ,5365, (5.23 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1268, (1.23 KB) ,6274, (6.12 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,845, ,12076, (11.7 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,431, ,7896, (7.71 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,431, ,9780, (9.55 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1590, (1.55 KB) ,472, ,00:01
proxy.cse.cuhk.edu.hk:5070,416, ,10670, (10.4 KB) ,00:01
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1327, (1.29 KB) ,3250, (3.17 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1107, (1.08 KB) ,29322, (28.6 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,00:17
proxy.cse.cuhk.edu.hk:5070,1133, (1.10 KB) ,11393, (11.1 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,483, ,342, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1210, (1.18 KB) ,366, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,697, ,324, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,704, ,2476, (2.41 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,7829, (7.64 KB) ,578548, (564 KB) ,00:18
proxy.cse.cuhk.edu.hk:5070,3425, (3.34 KB) ,212164, (207 KB) ,00:18
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,934, ,5869, (5.73 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1325, (1.29 KB) ,514, ,<1 sec
proxy.cse.cuhk.edu.hk:5070,1293, (1.26 KB) ,2439, (2.38 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,508, ,29786, (29.0 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,508, ,47293, (46.1 KB) ,<1 sec
proxy.cse.cuhk.edu.hk:5070,0, ,0, ,00:01
