var1,var2,var3,var4,var5
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3375,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3534,3391,3515,3479
3552,3552,3391,3515,3497
3552,3552,3391,3515,3497
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
3534,3534,3375,3497,3479
