var1,var2,var3
2,0x0b85eee0,0x05
20,0x1438f9e0,0x40
20,0x01228120,0x10
5,0x11042a80,0x04
28,0x110067e0,0x02
14,0x06047860,0x20
2,0x1b85f080,0x02
2,0x1b85fe80,0x02
10,0x08d10580,0x08
2,0x0b85f680,0x0e
0,0x1b858280,0x40
12,0x1b786f60,0x04
0,0x1b8584e0,0x80
23,0x03f89c00,0x10
5,0x11042a80,0x04
0,0x1b8594e0,0x40
10,0x08e70580,0x08
0,0x1b858ca0,0x40
0,0x1b858280,0x40
22,0x049af800,0x02
2,0x0d09f1c0,0x80
16,0x0456cd40,0x04
25,0x155e28e0,0x08
27,0x11b3f3c0,0x10
18,0x0e0272e0,0x10
8,0x0a2ae600,0x10
28,0x0fe65820,0x04
25,0x10e1b8a0,0x10
22,0x009c14e0,0x20
3,0x0b19b8a0,0x08
20,0x180462c0,0x02
0,0x12af93a0,0x08
23,0x03f89c00,0x10
10,0x01d7a160,0x10
26,0x07a95e80,0x10
35,0x1317cee0,0x10
33,0x00dbd200,0x80
26,0x146ad540,0x10
21,0x04d64dc0,0x80
6,0x1880a8e0,0x40
25,0x1a544020,0x40
9,0x123b6ca0,0x20
8,0x0a2ae600,0x10
29,0x14123c20,0x08
26,0x022c3fc0,0x40
27,0x166a9f20,0x02
21,0x13d38aa0,0x40
15,0x0bde77e0,0x04
16,0x0149a040,0x80
2,0x0fa3d060,0x08
5,0x0e37bbe0,0x40
4,0x18f28be0,0x40
13,0x0397e0e0,0x08
9,0x11b9cc60,0x04
6,0x06ec7a20,0x20
9,0x11f82720,0x02
6,0x0148b640,0x10
20,0x0a508740,0x02
25,0x06c27c60,0x40
5,0x13253280,0x04
14,0x17086be0,0x02
23,0x1793c560,0x01
14,0x08d4e740,0x01
12,0x18e33e80,0x04
13,0x00f254e0,0x20
29,0x1b719940,0x02
27,0x1b70b860,0x80
16,0x18fa5d40,0x80
30,0x1bd2b700,0x04
21,0x111d8c60,0x01
34,0x11e7ed80,0x80
30,0x042358a0,0x20
25,0x10e1bce0,0x40
9,0x12870760,0x40
6,0x00e462c0,0x02
25,0x00e19cc0,0x10
15,0x1bb2fe80,0x02
25,0x12127ee0,0x10
28,0x1efc7020,0x20
14,0x136cd5e0,0x04
1,0x01d7eaa0,0x02
4,0x0589f8e0,0x10
27,0x00284720,0x11
9,0x0021d9c0,0x20
15,0x06a72120,0x04
27,0x1b70b860,0x80
33,0x1ff2fc60,0x04
12,0x18e33e80,0x04
30,0x042358a0,0x20
11,0x06366640,0x04
19,0x057c7e00,0x20
29,0x0ea9fd60,0x40
