var1,var2,var3,var4,var5,var6,var7
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,512MB,15GB,0GB,16,0
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,512MB,15GB,0GB,16,0
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,512MB,15GB,0GB,16,0
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,512MB,15GB,0GB,16,0
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,512MB,15GB,0GB,16,0
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,512MB,15GB,0GB,16,0
cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,64172MB,2560MB,15GB,20GB,16,1
