var1,var2,var3,var4,var5,var6
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2477829
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2577181
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2731631
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2580249
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2727931
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2642131
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,4256971
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2661140
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2563808
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2580891
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2733629
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2694771
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2692339
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2777061
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1910,0,2808621
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1910,0,2603891
"10.11.21.122,10.11.10.1",/openstack/2012-08-10/meta_data.json HTTP/1.1,200,264,0,2451560
"10.11.21.122,10.11.10.1",/openstack/2013-10-17 HTTP/1.1,200,157,0,0008290
"10.11.21.122,10.11.10.1",/openstack/2013-10-17/vendor_data.json HTTP/1.1,200,124,0,2197890
"10.11.21.122,10.11.10.1",/openstack/2013-10-17/vendor_data.json HTTP/1.1,200,124,0,2368760
"10.11.21.122,10.11.10.1",/openstack/2013-10-17/user_data HTTP/1.1,404,176,0,0010660
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1916,0,2658210
"10.11.21.122,10.11.10.1",/openstack/2013-10-17/meta_data.json HTTP/1.1,200,967,0,2349129
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1874,0,2161739
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,211,0,1072969
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1583,0,1901591
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1583,0,1796741
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4 HTTP/1.1,200,1708,0,1917260
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1759,0,3730500
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1759,0,2672291
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2643161
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2641511
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2796621
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2579432
10.11.10.1,/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1,200,1893,0,2629061
