var1,var2,var3,var4
10.251.30.85,50010,-2918118818249673980,10.251.90.64
10.251.126.255,50010,8376667364205250596,10.251.91.159
10.251.123.132,50010,3763728533434719668,10.251.38.214
10.250.13.188,50010,6241141267506413726,10.251.194.245
10.251.199.19,50010,8466246428293623262,10.251.106.37
10.250.9.207,50010,-3140754468249228022,10.250.9.207
10.251.202.134,50010,3441699978641526775,10.251.126.5
10.250.14.196,50010,-305633040016166849,10.251.38.53
10.251.107.227,50010,-6290631608800952376,10.251.109.209
10.251.90.64,50010,-4841792440390267307,10.251.90.239
10.250.10.144,50010,5126469776250053435,10.250.11.100
10.251.71.146,50010,-2032740670708110312,10.251.197.161
10.251.67.113,50010,-62891505109755100,10.250.7.96
10.251.74.79,50010,2244903517044280975,10.251.74.134
10.251.214.112,50010,5905933788014151041,10.251.214.112
10.251.43.210,50010,2969087638814291714,10.251.199.86
10.251.126.255,50010,2879780987351022871,10.251.39.144
10.251.73.220,50010,4934527196392001803,10.251.203.246
10.251.73.188,50010,7517964792804498202,10.250.6.191
10.251.35.1,50010,7940316270494947483,10.251.122.38
10.251.90.134,50010,7154985168984871115,10.251.110.160
10.251.67.225,50010,-6900989714336081087,10.251.25.237
10.251.42.191,50010,-8023826090828946372,10.251.214.130
10.251.31.5,50010,-1367876730256254709,10.251.67.225
10.251.26.8,50010,-7983508786213002472,10.251.38.197
10.251.75.228,50010,-7680599654910200999,10.251.75.228
10.251.38.214,50010,5547569777499890340,10.251.195.52
10.251.42.246,50010,-7658293778087733436,10.251.30.179
10.251.111.130,50010,3169060243663461885,10.251.214.32
10.251.26.8,50010,-8522942048313632858,10.251.31.85
10.251.123.1,50010,-272707591443354058,10.251.198.33
10.251.90.239,50010,-8679916835272129336,10.250.15.198
10.251.66.102,50010,6106884317961925960,10.251.66.102
10.251.31.5,50010,6332892729727950039,10.251.123.1
10.250.17.225,50010,-5935642747315643391,10.251.199.150
10.251.215.70,50010,-20269367189114433,10.251.30.179
10.250.15.198,50010,-1851265222873801714,10.251.195.52
10.251.198.33,50010,-8495670552887053546,10.250.10.223
10.250.19.227,50010,-7372087176866857012,10.251.110.68
10.251.70.112,50010,4357276972386184626,10.251.74.79
10.251.215.16,50010,-4590972095204776122,10.251.30.6
10.251.107.50,50010,4524198807982839635,10.251.122.79
10.251.111.209,50010,7505828172725463922,10.251.111.209
10.251.70.211,50010,424255210146453297,10.251.203.179
10.251.126.22,50010,1686195200514944346,10.250.6.223
10.251.70.211,50010,-667933171485085225,10.251.203.246
10.251.125.193,50010,3790492230047189408,10.251.199.159
10.251.70.5,50010,4581070264530964999,10.250.13.188
10.251.74.79,50010,2139707931694085102,10.251.111.228
10.251.42.246,50010,-3056652732896088330,10.251.27.63
10.250.13.188,50010,73389299186801686,10.251.123.33
10.251.42.16,50010,4963214289850966664,10.251.202.181
10.251.71.240,50010,-8082428389627750477,10.251.71.97
10.251.122.38,50010,7489155602821840025,10.251.26.8
10.251.197.226,50010,2101007907134483259,10.251.31.242
10.251.26.177,50010,3848747149919646864,10.251.125.174
10.251.30.85,50010,8059204889272489644,10.250.7.96
10.251.39.179,50010,1683075246463470765,10.250.14.38
10.251.123.132,50010,4048438071314937575,10.251.194.213
10.251.126.255,50010,1910039736720341651,10.251.31.85
10.251.70.37,50010,1646534811870220828,10.250.11.100
10.251.214.130,50010,424461424221613461,10.251.71.193
10.251.215.70,50010,-7391656937286046074,10.251.107.196
10.251.30.101,50010,-5340885607150360719,10.251.30.101
10.251.195.33,50010,6702054389824523327,10.251.195.33
10.250.11.53,50010,-7125370327234065733,10.250.15.240
10.250.10.223,50010,8478683141242372735,10.251.70.5
10.251.107.50,50010,-4737948505610037427,10.251.75.79
10.250.14.196,50010,2967299761311489673,10.251.89.155
10.250.10.223,50010,9095955277706686312,10.250.5.161
10.251.39.179,50010,-8558281124275910849,10.251.30.134
10.251.26.8,50010,-3572295706132449090,10.251.111.130
10.251.127.243,50010,7760079751081658559,10.251.215.70
10.251.75.143,50010,2262752117989012641,10.250.13.188
10.251.126.227,50010,-4181768899028058192,10.251.26.177
10.250.7.230,50010,-7029628814943626474,10.251.38.197
10.251.214.175,50010,481857539063371482,10.251.105.189
10.251.39.144,50010,-8083036675630459841,10.251.39.209
10.250.7.32,50010,-1508527605812345693,10.251.74.192
10.251.107.98,50010,-3140031507252212554,10.250.7.244
