var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15
40000500,ffffffff,508,40000500,40000008,0,0,0,0,720,1280,0,0,0,0
508,ffffffff,40000500,508,40000008,0,0,0,0,720,1280,0,0,0,0
40000500,ffffffff,508,40000500,40000008,0,0,0,0,720,1280,0,0,0,0
40000600,ffffffff,40000500,40000600,300,0,0,0,0,720,1280,0,0,0,0
40000500,ffffffff,40000600,40000500,300,0,0,0,0,720,1280,0,0,0,0
508,ffffffff,40000500,508,40000008,0,0,0,0,720,1280,0,0,0,0
0,1,508,508,0,0,0,0,0,0,0,0,0,0,0
0,1,508,508,0,0,0,0,0,0,0,0,0,0,0
40000500,ffffffff,508,40000500,40000008,0,0,0,0,720,1280,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
0,1,40000500,40000500,0,0,0,0,0,0,0,0,0,0,0
708,ffffffff,40000500,708,40000208,0,0,0,0,720,1280,0,0,0,0
c0000700,ffffffff,708,c0000700,c0000008,0,0,0,0,720,1280,0,0,0,0
80000608,ffffffff,c0000700,80000608,40000108,0,0,0,0,720,1280,0,0,0,0
40000600,ffffffff,80000608,40000600,c0000008,0,0,0,0,720,1280,0,0,0,0
40000000,ffffffff,40000600,40000000,600,0,0,0,0,720,1280,0,0,0,0
40000600,ffffffff,40000000,40000600,600,0,0,0,0,720,1280,0,0,0,0
708,ffffffff,40000600,708,40000108,0,0,0,0,720,1280,0,0,0,0
c0000700,ffffffff,708,c0000700,c0000008,0,0,0,0,720,1280,0,0,0,0
80000508,ffffffff,c0000700,80000508,40000208,0,0,0,0,720,1280,0,0,0,0
0,1,80000508,80000508,0,0,0,0,0,0,0,0,0,0,0
0,1,80000508,80000508,0,0,0,0,0,0,0,0,0,0,0
