var1,var2,var3
broadcast_9_piece0,5.2 KB,5.2 KB
broadcast_8_piece0,21.4 KB,35.4 KB
broadcast_0_piece0,93.0 B,317.1 KB
broadcast_4_piece0,95.0 B,317.6 KB
broadcast_3_piece0,152.0 B,318.1 KB
broadcast_1_piece0,107.0 B,318.6 KB
broadcast_2_piece0,93.0 B,319.0 KB
rdd_2_2,850.0 B,320.3 KB
rdd_2_3,930.0 B,321.2 KB
rdd_2_1,935.0 B,322.1 KB
rdd_2_0,913.0 B,323.0 KB
rdd_2_4,890.0 B,323.8 KB
broadcast_10_piece0,5.8 KB,329.6 KB
broadcast_11_piece0,5.4 KB,344.7 KB
broadcast_12_piece0,5.6 KB,359.4 KB
rdd_6_4,287.0 B,369.5 KB
rdd_6_3,344.0 B,369.9 KB
rdd_6_1,330.0 B,370.2 KB
rdd_6_2,252.0 B,370.4 KB
rdd_6_0,265.0 B,370.7 KB
broadcast_13_piece0,5.7 KB,376.4 KB
broadcast_14_piece0,5.8 KB,392.3 KB
broadcast_15_piece0,5.4 KB,407.4 KB
broadcast_16_piece0,5.6 KB,422.1 KB
rdd_11_0,152.0 B,432.1 KB
rdd_11_3,157.0 B,432.3 KB
rdd_11_4,145.0 B,432.4 KB
rdd_11_2,199.0 B,432.6 KB
rdd_11_1,160.0 B,432.7 KB
broadcast_17_piece0,5.7 KB,438.5 KB
broadcast_18_piece0,5.8 KB,454.4 KB
broadcast_19_piece0,5.4 KB,469.4 KB
broadcast_20_piece0,5.5 KB,416.7 KB
rdd_16_4,263.0 B,386.4 KB
rdd_16_0,191.0 B,386.6 KB
rdd_16_3,232.0 B,386.8 KB
rdd_16_2,230.0 B,387.0 KB
rdd_16_1,351.0 B,387.4 KB
broadcast_21_piece0,5.7 KB,393.1 KB
broadcast_22_piece0,5.8 KB,409.0 KB
broadcast_23_piece0,5.4 KB,378.2 KB
broadcast_24_piece0,5.6 KB,393.0 KB
rdd_21_1,162.0 B,403.0 KB
rdd_21_4,200.0 B,403.2 KB
rdd_21_3,194.0 B,403.4 KB
rdd_21_2,163.0 B,403.5 KB
rdd_21_0,244.0 B,403.8 KB
broadcast_25_piece0,5.7 KB,409.5 KB
broadcast_26_piece0,5.8 KB,379.9 KB
broadcast_27_piece0,5.4 KB,395.0 KB
broadcast_28_piece0,5.6 KB,409.8 KB
rdd_26_0,16.0 B,419.6 KB
rdd_26_3,16.0 B,419.6 KB
rdd_26_4,16.0 B,419.6 KB
rdd_26_2,16.0 B,419.7 KB
rdd_26_1,16.0 B,419.7 KB
broadcast_29_piece0,5.7 KB,379.5 KB
broadcast_30_piece0,5.8 KB,380.0 KB
broadcast_31_piece0,5.6 KB,395.3 KB
rdd_30_0,324.0 B,405.4 KB
rdd_30_1,165.0 B,405.6 KB
rdd_30_2,250.0 B,405.8 KB
rdd_30_4,226.0 B,406.0 KB
rdd_30_3,251.0 B,406.3 KB
broadcast_32_piece0,5.7 KB,406.3 KB
broadcast_33_piece0,29.5 KB,404.8 KB
broadcast_34_piece0,28.8 KB,515.7 KB
broadcast_37_piece0,5.2 KB,569.5 KB
broadcast_36_piece0,21.4 KB,522.3 KB
rdd_42_0,913.0 B,804.8 KB
rdd_42_4,890.0 B,805.7 KB
rdd_42_2,850.0 B,806.5 KB
rdd_42_1,935.0 B,807.4 KB
rdd_42_3,930.0 B,808.4 KB
rdd_42_5,930.0 B,809.3 KB
rdd_42_6,559.0 B,809.8 KB
rdd_42_9,950.0 B,810.7 KB
rdd_42_8,869.0 B,811.6 KB
rdd_42_7,640.0 B,812.2 KB
rdd_42_10,948.0 B,813.1 KB
rdd_42_11,920.0 B,814.0 KB
rdd_42_13,912.0 B,814.9 KB
rdd_42_12,852.0 B,815.8 KB
rdd_42_14,834.0 B,816.6 KB
rdd_42_15,913.0 B,817.5 KB
rdd_42_16,748.0 B,818.2 KB
rdd_42_17,836.0 B,819.0 KB
rdd_42_19,920.0 B,819.9 KB
rdd_42_18,955.0 B,820.8 KB
rdd_42_20,917.0 B,821.7 KB
rdd_42_22,737.0 B,822.5 KB
rdd_42_21,922.0 B,823.4 KB
rdd_42_24,858.0 B,824.2 KB
rdd_42_23,914.0 B,825.1 KB
rdd_42_25,950.0 B,826.0 KB
rdd_42_27,790.0 B,826.8 KB
rdd_42_26,872.0 B,827.6 KB
rdd_42_28,901.0 B,828.5 KB
rdd_42_29,901.0 B,829.4 KB
rdd_42_30,906.0 B,830.3 KB
rdd_42_31,827.0 B,831.1 KB
rdd_42_32,993.0 B,832.1 KB
rdd_42_34,842.0 B,832.9 KB
rdd_42_33,869.0 B,833.7 KB
rdd_42_35,917.0 B,834.6 KB
rdd_42_37,939.0 B,835.5 KB
rdd_42_36,912.0 B,836.4 KB
rdd_42_38,974.0 B,837.4 KB
rdd_42_39,877.0 B,838.2 KB
broadcast_38_piece0,5.8 KB,844.0 KB
broadcast_39_piece0,5.4 KB,859.1 KB
broadcast_40_piece0,6.0 KB,874.3 KB
