var1,var2,var3
broadcast_9,8.8 KB,14.0 KB
broadcast_8,281.6 KB,317.0 KB
broadcast_0,384.0 B,317.5 KB
broadcast_4,384.0 B,318.0 KB
broadcast_3,384.0 B,318.5 KB
broadcast_1,384.0 B,319.0 KB
broadcast_2,384.0 B,319.4 KB
broadcast_10,9.6 KB,339.2 KB
broadcast_11,9.2 KB,353.9 KB
broadcast_12,9.8 KB,369.3 KB
broadcast_13,10.1 KB,386.5 KB
broadcast_14,9.6 KB,401.9 KB
broadcast_15,9.2 KB,416.6 KB
broadcast_16,9.8 KB,432.0 KB
broadcast_17,10.1 KB,448.6 KB
broadcast_18,9.6 KB,464.0 KB
broadcast_19,9.2 KB,478.6 KB
broadcast_20,9.8 KB,411.6 KB
broadcast_21,10.1 KB,403.2 KB
broadcast_22,9.6 KB,418.6 KB
broadcast_23,9.2 KB,387.4 KB
broadcast_24,9.8 KB,402.8 KB
broadcast_25,10.1 KB,419.6 KB
broadcast_26,9.7 KB,389.6 KB
broadcast_27,9.2 KB,404.2 KB
broadcast_28,9.8 KB,419.6 KB
broadcast_29,10.1 KB,374.2 KB
broadcast_30,9.7 KB,389.7 KB
broadcast_31,9.8 KB,405.1 KB
broadcast_32,10.1 KB,400.4 KB
broadcast_33,82.1 KB,486.9 KB
broadcast_34,77.4 KB,593.1 KB
broadcast_37,8.8 KB,500.9 KB
broadcast_36,281.6 KB,803.9 KB
broadcast_38,9.6 KB,853.7 KB
broadcast_39,9.2 KB,868.3 KB
broadcast_40,9.9 KB,884.2 KB
