var1,var2,var3,var4,var5,var6
jA9J1UvC004306,629060,0,1,200511091901.jA9J1UvC004306@eadmin1,7
jA9J1Wd7019391,1594553,0,1,200511091901.jA9J1Wd7019391@cadmin1,7
jA9J1WSU011176,1593894,0,1,200511091901.jA9J1WSU011176@badmin1,7
jA9J1WFE024258,1597080,0,1,200511091901.jA9J1WFE024258@dadmin1,7
jA9J1dQ7016560,1595423,0,1,200511091901.jA9J1dQ7016560@aadmin1,7
jA9JBVPb007417,629060,0,1,200511091911.jA9JBVPb007417@eadmin1,7
jA9JBWxH019649,1596872,0,1,200511091911.jA9JBWxH019649@aadmin1,7
jA9JBWEr014256,1593894,0,1,200511091911.jA9JBWEr014256@badmin1,7
jA9JBXgf022479,1594553,0,1,200511091911.jA9JBXgf022479@cadmin1,7
jA9JBXVI027337,1597080,0,1,200511091911.jA9JBXVI027337@dadmin1,7
