var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14
jA9J1UvC004306,00,00,01,00,00,00,659060,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9J1Wd7019391,00,00,02,00,00,00,1624553,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9J1WSU011176,00,00,03,00,00,00,1623894,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9J1WFE024258,00,00,03,00,00,00,1627080,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9J1dQ7016560,00,00,02,00,00,00,1625423,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9JBVPb007417,00,00,00,00,00,00,659060,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9JBWxH019649,00,00,02,00,00,00,1626872,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9JBWEr014256,00,00,02,00,00,00,1623894,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9JBXgf022479,00,00,02,00,00,00,1624553,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
jA9JBXVI027337,00,00,02,00,00,00,1627080,127.0.0.1,127.0.0.1,4,0,0,127.0.0.1
